state,year,beercons,beertax,cigtax
1,1981,1.095706,.9060506,15.69315
1,1982,1.093958,.8534715,16
1,1983,1.106647,.8269076,16
1,1984,1.123443,.7926852,16
1,1985,1.165292,.7654275,16.5
1,1986,1.200456,.7514598,16.5
1,1987,1.209483,.725,16.5
1,1988,1.217499,.696196,16.5
1,1989,1.215944,.6641935,16.5
1,1990,1.213436,.6301454,16.5
1,1991,1.08052,.8178414,16.5
1,1992,1.099413,.7939416,16.5
1,1993,1.229738,.7708651,16.5
1,1994,1.259107,.7516195,16.5
1,1995,1.231295,.7309055,16.5
1,1996,1.254715,.7099427,16.5
1,1997,1.235036,.6940187,16.5
1,1998,1.265004,.6833743,16.5
1,1999,1.277967,.6686075,16.5
1,2000,1.27729,.6468641,16.5
1,2001,1.245411,.6275493,16.5
1,2002,1.265123,.6157546,16.5
1,2003,1.272422,.6053804,16.5
1,2004,1.271376,.5896771,20.84521
1,2005,1.260095,.5703533,42.5
1,2006,1.305052,.5525298,42.5
1,2007,1.330538,.5372283,42.5
2,1981,1.925943,.4073707,13
2,1982,1.85762,.3837306,13
2,1983,1.731953,.3717872,13
2,1984,1.675242,.3564004,13
2,1985,1.800864,.4184945,15
2,1986,1.885191,.4108577,15
2,1987,1.766699,.3963908,15
2,1988,1.723259,.3806424,15
2,1989,1.750769,.3631452,15
2,1990,1.713203,.3445295,15
2,1991,1.716278,.5437592,17.24384
2,1992,1.723423,.5278689,18
2,1993,1.744708,.512526,18
2,1994,1.688969,.4997301,18
2,1995,1.646328,.485958,41.45205
2,1996,1.717906,.4720204,58
2,1997,1.649972,.461433,58
2,1998,1.652818,.4543558,58
2,1999,1.699882,.4445378,58
2,2000,1.595747,.4300813,58
2,2001,1.588303,.4172395,58
2,2002,1.579528,.4093975,58
2,2003,1.517981,.4025,93.67123
2,2004,1.497174,.3920593,118
2,2005,1.433188,.3792115,118
2,2006,1.407568,.3673611,118
2,2007,1.45875,.3571876,200
3,1981,1.162422,.5772277,17.75
3,1982,1.120041,.5437306,17.75
3,1983,1.123791,.5268072,18.67603
3,1984,1.12219,.5050048,21
3,1985,1.135916,.4876394,21
3,1986,1.169591,.4787409,21
3,1987,1.188858,.4618838,21
3,1988,1.18588,.4435334,21
3,1989,1.195259,.4231452,21
3,1990,1.216201,.4014537,21
3,1991,1.215518,.5983847,21
3,1992,1.228549,.5808981,22
3,1993,1.204523,.5640138,27.13699
3,1994,1.171749,.5499325,31.5
3,1995,1.187205,.5347769,31.5
3,1996,1.22775,.5194392,31.5
3,1997,1.206272,.5077726,31.5
3,1998,1.235158,.4999847,31.5
3,1999,1.228354,.4891807,31.5
3,2000,1.17209,.4732724,31.5
3,2001,1.142259,.4591409,31.5
3,2002,1.150474,.4505114,34
3,2003,1.143454,.4429212,36.05479
3,2004,1.151209,.431432,59
3,2005,1.123013,.4172939,59
3,2006,1.14082,.4042535,59
3,2007,1.144441,.3930583,59
4,1981,1.549585,.3633663,10
4,1982,1.479774,.3422798,10
4,1983,1.470715,.3316265,10
4,1984,1.477882,.3179018,10
4,1985,1.423022,.3069703,10
4,1986,1.456214,.3013687,10
4,1987,1.450446,.290757,10
4,1988,1.414607,.2792054,10
4,1989,1.383088,.266371,22.39726
4,1990,1.415038,.2527162,35
4,1991,1.304874,.5143906,35
4,1992,1.371983,.5563792,35
4,1993,1.261608,.5402076,35
4,1994,1.173412,.5267206,35.99178
4,1995,1.234114,.5122048,37
4,1996,1.198576,.4975144,37
4,1997,1.21278,.4863552,37
4,1998,1.193765,.4788957,37
4,1999,1.185342,.4685474,61.79451
4,2000,1.159362,.4533101,86.99999
4,2001,1.167089,.4397747,86.99999
4,2002,1.158742,.4315092,86.99999
4,2003,1.149262,.4242391,86.99999
4,2004,1.142739,.4132345,86.99999
4,2005,1.124116,.3996928,86.99999
4,2006,1.149562,.3872024,86.99999
4,2007,1.164435,.3764794,86.99999
5,1981,1.765452,.4073707,10
5,1982,1.767013,.3837306,10
5,1983,1.70088,.3717872,10
5,1984,1.639658,.3564004,13.31507
5,1985,1.606525,.344145,15
5,1986,1.611836,.337865,15
5,1987,1.567332,.3259683,20
5,1988,1.55483,.3130177,20
5,1989,1.520888,.2986291,20
5,1990,1.448559,.2833206,20
5,1991,1.501344,.4850221,20
5,1992,1.456075,.4708482,20
5,1993,1.527972,.4571626,20
5,1994,1.499803,.445749,20
5,1995,1.596309,.4334646,20
5,1996,1.518464,.4210325,20
5,1997,1.459962,.4115888,20
5,1998,1.494524,.4052761,20
5,1999,1.508047,.3965186,20
5,2000,1.449941,.3836237,20
5,2001,1.528728,.372169,20
5,2002,1.458382,.3651742,20
5,2003,1.436617,.3590218,20
5,2004,1.4054,.3497089,20
5,2005,1.405069,.3382488,51.73699
5,2006,1.368402,.3276786,83.99998
5,2007,1.383447,.318604,83.99998
6,1981,1.147721,.4080308,21
6,1982,1.135039,.3843523,21
6,1983,1.190177,.3723896,21
6,1984,1.188063,.3725698,25.57534
6,1985,1.214723,.3597584,26
6,1986,1.20056,.3531935,26
6,1987,1.218516,.340757,26
6,1988,1.193981,.3272189,26
6,1989,1.139713,.3901613,29.49041
6,1990,1.152845,.3701607,40
6,1991,1.097541,.5683554,40
6,1992,1.079609,.5517462,43.73973
6,1993,1.030561,.5357094,45
6,1994,1.0641,.5223347,47
6,1995,1.049751,.5079397,50
6,1996,1.024295,.4933716,50
6,1997,1.035501,.478567,50
6,1998,1.060047,.471227,50
6,1999,1.04859,.4610444,50
6,2000,1.006548,.4460511,50
6,2001,1.015025,.4327324,50
6,2002,1.019676,.4245993,64.87395
6,2003,.9941292,.4174457,122.4219
6,2004,.9891865,.4066173,151
6,2005,.9771383,.3932924,151
6,2006,.9962968,.381002,151
6,2007,.99797,.3704507,151
7,1981,1.664963,.390319,14
7,1982,1.683003,.3676684,14
7,1983,1.681626,.3562249,14
7,1984,1.64833,.3414822,14
7,1985,1.599025,.3297398,14
7,1986,1.581974,.3237227,14
7,1987,1.574628,.3123239,14
7,1988,1.568084,.2999154,14
7,1989,1.522058,.286129,14
7,1990,1.538691,.2714614,14
7,1991,1.490869,.5411894,19.4411
7,1992,1.505016,.5253742,24
7,1993,1.568811,.5101038,24
7,1994,1.544872,.4973684,24
7,1995,1.41102,.4836615,24
7,1996,1.46009,.4697897,24
7,1997,1.491381,.456176,24
7,1998,1.483843,.4491795,24
7,1999,1.52691,.4394733,24
7,2000,1.455395,.4251815,24
7,2001,1.475287,.4124859,24
7,2002,1.491687,.4047333,24
7,2003,1.471904,.3979144,24
7,2004,1.508971,.3875927,52.36712
7,2005,1.527886,.3748912,55
7,2006,1.528501,.3631758,55
7,2007,1.483504,.3531183,55
8,1981,1.59163,.3992299,13
8,1982,1.560815,.3760622,13
8,1983,1.607573,.3643574,13
8,1984,1.605416,.3492782,13
8,1985,1.536562,.3372677,13
8,1986,1.542667,.3311132,13
8,1987,1.500242,.3194542,13.99726
8,1988,1.466875,.3067625,17
8,1989,1.463437,.2926613,17
8,1990,1.504612,.2909717,17
8,1991,1.504749,.4923642,17
8,1992,1.714703,.4779758,31.64384
8,1993,1.62864,.464083,50
8,1994,1.635056,.4524966,65.00002
8,1995,1.651484,.4400263,65.00002
8,1996,1.591382,.427406,65.00002
8,1997,1.566578,.416067,65.00002
8,1998,1.533104,.4096856,65.00002
8,1999,1.538788,.4008329,65.00002
8,2000,1.421998,.3877976,65.00002
8,2001,1.405105,.3762183,65.00002
8,2002,1.434396,.3691474,65.00002
8,2003,1.461565,.362928,81.48238
8,2004,1.482062,.3535138,100
8,2005,1.447107,.3419291,100
8,2006,1.441067,.3312438,100
8,2007,1.432231,.3220706,100
9,1981,1.66743,.7594059,21
9,1982,1.659057,.7153368,21
9,1983,1.657488,.7733936,21
9,1984,1.562443,.7413859,21
9,1985,1.575297,.7158922,21
9,1986,1.598496,.7028285,21
9,1987,1.603616,.6780809,24
9,1988,1.599592,.6511411,24
9,1989,1.59978,.6212097,24
9,1990,1.638001,.589365,24
9,1991,1.525438,.7787078,33.9
9,1992,1.559613,.7559515,33.9
9,1993,1.553877,.7339792,33.9
9,1994,1.529435,.7156545,33.9
9,1995,1.471265,.6959318,33.9
9,1996,1.50485,.675972,33.9
9,1997,1.483551,.66081,33.9
9,1998,1.450612,.6506749,33.9
9,1999,1.494017,.6366147,33.9
9,2000,1.412925,.6159117,33.9
9,2001,1.418969,.5975211,33.9
9,2002,1.415812,.5862908,33.9
9,2003,1.414998,.576413,33.9
9,2004,1.4426,.5614611,33.9
9,2005,1.435259,.543062,33.9
9,2006,1.415588,.5260912,33.9
9,2007,1.380747,.511522,33.9
10,1981,1.216413,.8474147,12
10,1982,1.226233,.7982384,12
10,1983,1.249486,.7733936,12
10,1984,1.290278,.7413859,12
10,1985,1.277874,.7158922,12
10,1986,1.322917,.7028285,12
10,1987,1.321528,.6780809,12
10,1988,1.315409,.6511411,12
10,1989,1.274127,.6212097,12
10,1990,1.314349,.589365,12
10,1991,1.254412,.7787078,12
10,1992,1.326707,.7559515,12
10,1993,1.341159,.7339792,12
10,1994,1.281409,.7156545,12
10,1995,1.32054,.6959318,12
10,1996,1.35132,.675972,12
10,1997,1.324624,.66081,12
10,1998,1.344972,.6506749,12
10,1999,1.368437,.6366147,12
10,2000,1.316931,.6159117,12
10,2001,1.284105,.5975211,12
10,2002,1.299421,.5862908,12
10,2003,1.281254,.576413,12
10,2004,1.273239,.5614611,37
10,2005,1.217722,.543062,37
10,2006,1.262242,.5260912,37
10,2007,1.256614,.511522,37
11,1981,1.688712,.4843784,9.099999
11,1982,1.595883,.4562694,9.099999
11,1983,1.59048,.4420683,9.099999
11,1984,1.545029,.4237729,9.099999
11,1985,1.491572,.4092008,9.099999
11,1986,1.496745,.4017336,9.099999
11,1987,1.461589,.387588,11.29397
11,1988,1.398906,.3721893,18
11,1989,1.386807,.3550807,18
11,1990,1.484,.3368784,18
11,1991,1.438162,.5364171,18
11,1992,1.459709,.5207413,18
