id,sleep,nap,totwrk,educ,age,gdhlth,smsa,union,selfe,marr,yrsmarr,yngkid,male
1,3113,50,3438,12,32,0,0,0,0,1,13,0,1
2,2920,0,5020,14,31,1,0,0,1,0,0,0,1
3,2670,90,2815,17,44,1,1,0,1,1,0,0,1
4,3083,0,3786,12,30,1,0,0,1,1,12,0,0
5,3448,45,2580,14,64,1,0,0,0,1,33,0,1
6,4063,15,1205,12,41,1,0,0,0,1,23,0,1
7,3180,630,2113,12,35,1,0,0,0,1,0,1,1
8,2928,75,3608,13,47,1,1,0,1,1,24,0,1
9,3368,0,2353,17,32,1,0,1,0,1,11,0,1
10,3018,150,2851,15,30,1,1,0,1,1,7,0,1
11,3295,60,370,16,23,1,1,0,0,1,4,0,0
12,3798,0,2438,16,24,1,1,0,0,1,4,0,1
13,3008,0,2693,5,48,1,0,0,0,1,0,0,1
14,3248,0,2526,12,33,1,1,0,0,1,9,0,1
15,3683,0,2950,12,23,0,0,0,1,1,4,0,1
16,3201,0,3003,17,46,1,1,0,0,1,21,0,1
17,2580,0,4011,14,37,1,0,0,1,1,17,1,1
18,3420,105,2300,12,53,1,1,0,0,1,26,0,1
19,3090,0,1543,17,45,1,1,0,0,1,22,0,1
20,2760,0,3473,17,46,1,1,0,1,0,0,0,1
21,2880,150,3276,13,40,1,1,0,1,1,0,0,1
22,3470,90,2506,12,53,1,0,0,0,1,31,0,1
23,2673,0,2651,13,29,1,1,1,0,0,0,0,1
24,2820,30,4580,12,29,1,1,0,0,1,4,0,1
25,2873,370,3588,12,53,1,0,1,0,1,0,0,1
26,2926,75,2250,12,35,1,1,0,0,0,0,0,0
27,2603,0,2638,12,36,1,0,0,0,1,6,1,1
28,3238,54,3173,12,59,0,0,0,1,1,0,0,1
29,3888,45,3446,12,26,1,1,0,0,1,2,0,1
30,2716,0,3588,16,24,1,0,0,1,1,1,0,1
31,3245,30,2961,16,28,1,0,0,0,0,0,0,1
32,3158,0,2778,16,39,1,0,0,0,1,0,0,1
33,3105,60,3080,17,33,1,1,0,1,1,5,0,1
