week,search,price,cost
1,75265,140.48,131.64
2,79815,141.41,131.03
3,80774,140.14,129.7
4,75318,139.48,129.86
5,78780,141.2,132.46
6,88418,144.9,136.16
7,95406,148.5,139.96
8,109759,150.79,141.11
9,100276,152.1,140.24
10,96070,149.2,137.11
11,88868,147.26,135.33
12,84429,145.54,133.57
13,86034,143.64,132.1
14,80589,143.21,132.54
15,81525,141.19,128.79
16,78838,137.08,124.49
17,78010,134.21,124.36
18,79337,134.81,126.04
19,79533,135.32,125.81
20,81344,136.78,128.26
21,84258,139.84,130.73
22,86604,142.98,133.14
23,89670,144.02,133.6
24,91147,145.56,136.3
25,97110,146.94,136.73
26,92452,149.17,138.11
27,96717,149.22,138.13
28,103505,151.31,141.61
29,103723,154.53,145.9
30,116527,155.75,143.43
31,98059,152.45,139.14
32,93431,150.69,140.04
33,92438,149.41,138.77
34,87356,148.61,138.44
35,88124,149.26,139.74
36,88957,151.9,143.53
37,94958,152.59,141.66
38,91385,150.37,136.7
39,87247,149.09,135.69
40,84151,147.32,135.37
41,86789,146.56,134.36
42,70251,146.26,134.71
43,83623,145.79,133.49
44,82686,144.1,132.03
45,81111,143.65,132.87
46,81234,143.42,132.73
47,80732,145.55,135.5
48,64216,147.83,137.31
